customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
78,Christopher Lopez,christopher.lopez78@example.com,Japan,2021-11-03,Standard,2275.84
79,Yuki Costa,yuki.costa79@example.com,Spain,2025-03-19,Basic,642.92
80,Thomas Flores,thomas.flores80@example.com,Germany,2021-02-16,Standard,2320.73
81,Joseph Martin,joseph.martin81@example.com,Italy,2020-04-29,Basic,552.19
82,Ashley Lee,ashley.lee82@example.com,Japan,2021-01-25,Standard,1293.60
83,Andrew Singh,andrew.singh83@example.com,United Arab Emirates,2022-06-05,Standard,3309.83
84,Ingrid Martinez,ingrid.martinez84@example.com,France,2018-11-20,Standard,1516.18
85,Mark Kim,mark.kim85@example.com,Brazil,2020-05-26,Standard,967.86
86,Paul Moore,paul.moore86@example.com,Italy,2021-01-17,Basic,109.82
87,Michelle Mueller,michelle.mueller87@example.com,Germany,2018-07-27,Standard,2745.37
88,Kimberly Anderson,kimberly.anderson88@example.com,United States,2019-02-15,Standard,1770.55
89,Fatima Walker,fatima.walker89@example.com,Netherlands,2019-07-18,Premium,2067.36
90,Emily Hernandez,emily.hernandez90@example.com,United Arab Emirates,2023-05-03,Standard,2014.30
91,Richard Silva,richard.silva91@example.com,India,2021-03-15,Basic,516.72
92,Ingrid Garcia,ingrid.garcia92@example.com,Germany,2024-01-01,Standard,3007.01
93,John Lopez,john.lopez93@example.com,Singapore,2019-12-22,Standard,3748.91
94,John Sanchez,john.sanchez94@example.com,United Kingdom,2021-03-31,Basic,701.39
95,James Martin,james.martin95@example.com,Canada,2021-10-04,Standard,1281.33
96,Ananya Wright,ananya.wright96@example.com,United Arab Emirates,2019-07-04,Standard,3434.03
97,Sandra Moore,sandra.moore97@example.com,Canada,2021-09-16,Standard,817.48
98,Sandra Kim,sandra.kim98@example.com,United Kingdom,2018-02-27,Standard,2999.15
99,Charles Torres,charles.torres99@example.com,Germany,2019-12-20,Standard,2521.63
100,Aarav Sanchez,aarav.sanchez100@example.com,Japan,2021-09-05,Basic,69.39
101,Wei Miller,wei.miller101@example.com,United Kingdom,2023-05-10,Standard,1429.69
102,Jessica Smith,jessica.smith102@example.com,Germany,2023-01-04,Standard,3064.28
103,Nancy Martin,nancy.martin103@example.com,Mexico,2018-02-16,Standard,1193.90
104,Lisa Khan,lisa.khan104@example.com,Spain,2019-04-30,Standard,1968.50
105,David Sanchez,david.sanchez105@example.com,United Arab Emirates,2025-11-21,Standard,3125.40
106,Omar Davis,omar.davis106@example.com,France,2022-02-14,Standard,2535.58
107,Joseph Rodriguez,joseph.rodriguez107@example.com,Brazil,2024-10-17,Standard,1619.77
108,Omar Scott,omar.scott108@example.com,Netherlands,2024-01-11,Basic,641.60
109,Susan Silva,,Netherlands,2024-09-06,Standard,3517.91
110,Jennifer King,jennifer.king110@example.com,Italy,2022-01-21,Standard,496.79
111,Andrew Davis,andrew.davis111@example.com,Japan,2023-09-02,Premium,4628.04
112,Paul Martinez,paul.martinez112@example.com,Singapore,2023-11-02,Standard,1878.99
113,Yuki Wilson,yuki.wilson113@example.com,Brazil,2019-01-08,Basic,719.11
114,Mark Brown,mark.brown114@example.com,Japan,2022-08-29,Standard,1935.83
115,Patricia Scott,patricia.scott115@example.com,Netherlands,2021-06-16,Standard,2948.46
116,Betty Taylor,betty.taylor116@example.com,Italy,2020-06-11,Basic,462.65
117,John Ramirez,john.ramirez117@example.com,Canada,2024-01-26,Standard,3977.67
118,Robert Walker,robert.walker118@example.com,Australia,2020-01-08,Premium,11996.64
119,Ingrid Kim,ingrid.kim119@example.com,Spain,2022-09-18,Basic,299.57
120,Matthew Lewis,matthew.lewis120@example.com,United Arab Emirates,2022-03-27,Basic,300.52
121,Yuki Chen,yuki.chen121@example.com,United Kingdom,2025-04-30,Basic,688.23
122,Linda Lopez,linda.lopez122@example.com,Australia,2023-12-07,Basic,101.88
123,Joseph Smith,joseph.smith123@example.com,France,2023-03-12,Basic,538.80
124,Paul Ramirez,paul.ramirez124@example.com,Singapore,2020-07-29,Standard,1140.55
125,Daniel Martinez,daniel.martinez125@example.com,United Arab Emirates,2019-04-08,Standard,322.43
126,Wei Clark,wei.clark126@example.com,United Arab Emirates,2018-03-06,Standard,1114.53
127,Robert Miller,robert.miller127@example.com,Brazil,2024-09-14,Standard,2753.69
128,Patricia Thomas,patricia.thomas128@example.com,Australia,2022-12-03,Basic,187.47
129,Susan Silva,susan.silva129@example.com,United States,2019-07-28,Basic,403.12
130,Charles Anderson,charles.anderson130@example.com,Italy,2024-06-17,Basic,255.12
131,Joshua Costa,joshua.costa131@example.com,India,2020-08-28,Standard,1346.70
132,Elizabeth Chen,elizabeth.chen132@example.com,Australia,2021-05-15,Standard,1245.58
133,Emily Nguyen,emily.nguyen133@example.com,United Arab Emirates,2019-12-19,Basic,500.79
134,Margaret Scott,margaret.scott134@example.com,India,2025-03-20,Standard,2751.10
135,Kimberly Lee,kimberly.lee135@example.com,Australia,2019-09-04,Standard,1339.58
136,Barbara Silva,barbara.silva136@example.com,Germany,2020-07-12,Standard,1342.80
137,Fatima Martinez,fatima.martinez137@example.com,United Arab Emirates,2018-08-25,Basic,449.91
138,Anthony Scott,anthony.scott138@example.com,Australia,2020-09-21,Standard,1168.98
139,Nancy Kim,nancy.kim139@example.com,Brazil,2022-02-28,Premium,3202.03
140,Carlos Gonzalez,carlos.gonzalez140@example.com,Australia,2025-07-22,Premium,9864.60
141,John Jones,john.jones141@example.com,Netherlands,2024-08-03,Standard,2952.36
142,Emily Wilson,emily.wilson142@example.com,Singapore,2021-09-25,Standard,1352.11
143,James Wilson,james.wilson143@example.com,Italy,2019-04-26,Basic,597.50
144,Hans Walker,hans.walker144@example.com,Italy,2024-10-11,Basic,563.01
145,Betty Thomas,betty.thomas145@example.com,Netherlands,2021-03-05,Standard,1646.51
146,Paul Kim,paul.kim146@example.com,France,2022-01-13,Standard,2148.70
147,Ashley Robinson,ashley.robinson147@example.com,Italy,2023-04-08,Premium,11901.18
148,Christopher Wilson,christopher.wilson148@example.com,Australia,2018-07-07,Standard,2337.59
149,Joseph Mueller,joseph.mueller149@example.com,France,2024-03-16,Premium,14151.86
150,Donna Rossi,donna.rossi150@example.com,United Kingdom,2020-03-14,Standard,1453.49
151,Matthew Torres,matthew.torres151@example.com,Brazil,2024-03-05,Basic,523.69
152,Yuki Perez,yuki.perez152@example.com,Singapore,2023-06-25,Standard,3872.73
153,Ananya Mueller,ananya.mueller153@example.com,United Kingdom,2021-12-13,Standard,843.21
154,Carlos Wright,carlos.wright154@example.com,United Arab Emirates,2024-01-30,Standard,3963.23
155,Patricia King,patricia.king155@example.com,Singapore,2018-11-01,Premium,14287.45
156,Wei Brown,wei.brown156@example.com,Australia,2019-07-18,Basic,674.04
157,Joseph Jones,joseph.jones157@example.com,United States,2020-06-14,Basic,404.59
158,Lisa Brown,lisa.brown158@example.com,Spain,2024-11-30,Standard,3668.46
159,Wei Young,wei.young159@example.com,Japan,2024-03-09,Premium,7347.40
160,Mary King,mary.king160@example.com,Japan,2021-03-20,Basic,13.71
161,Omar Singh,omar.singh161@example.com,United Arab Emirates,2020-01-05,Standard,606.66
162,Michael King,michael.king162@example.com,Germany,2024-12-13,Premium,8843.93
163,Daniel Moore,daniel.moore163@example.com,Canada,2022-03-09,Basic,767.44
164,Sandra Torres,sandra.torres164@example.com,Italy,2020-07-14,Standard,1339.90
165,Jennifer Kim,jennifer.kim165@example.com,Spain,2018-05-10,Basic,74.80
166,Matthew Harris,matthew.harris166@example.com,United States,2025-02-21,Standard,235.91
167,David Garcia,david.garcia167@example.com,Australia,2025-03-26,Standard,3180.63
168,Andrew Miller,andrew.miller168@example.com,United Arab Emirates,2018-06-24,Basic,183.81
169,Omar Torres,omar.torres169@example.com,United States,2018-11-01,Standard,2800.83
170,Sarah Wright,sarah.wright170@example.com,United States,2020-01-05,Standard,3729.31
171,Christopher Johnson,christopher.johnson171@example.com,Mexico,2019-08-14,Basic,601.80
172,Fatima Sanchez,fatima.sanchez172@example.com,France,2019-10-28,Basic,451.17
173,Andrew Harris,andrew.harris173@example.com,Japan,2021-09-20,Standard,1658.62
174,Sofia Rodriguez,sofia.rodriguez174@example.com,Italy,2018-11-18,Basic,400.63
175,Daniel Brown,daniel.brown175@example.com,Germany,2018-11-08,Premium,6427.71
176,Ingrid Flores,ingrid.flores176@example.com,Australia,2021-08-29,Basic,23.70
177,Sarah Lewis,sarah.lewis177@example.com,India,2024-03-15,Standard,3776.34
178,Margaret Lopez,margaret.lopez178@example.com,Spain,2022-04-06,Standard,525.64
179,Michelle Jackson,michelle.jackson179@example.com,Italy,2018-10-29,Basic,65.63
180,Elizabeth Harris,elizabeth.harris180@example.com,Spain,2019-09-24,Basic,591.72
181,Christopher White,christopher.white181@example.com,United States,2021-06-16,Premium,7781.57
182,Hans Moore,hans.moore182@example.com,Canada,2020-02-07,Premium,7602.73
183,Emily Scott,emily.scott183@example.com,Canada,2018-04-18,Standard,540.55
184,Emily Garcia,emily.garcia184@example.com,Netherlands,2021-08-21,Standard,3482.13
185,James Jackson,james.jackson185@example.com,Netherlands,2018-12-13,Standard,2954.41
186,Emily Thomas,emily.thomas186@example.com,United Kingdom,2025-09-08,Standard,1646.78
187,William Moore,william.moore187@example.com,Brazil,2019-08-21,Standard,440.42
188,Margaret Moore,margaret.moore188@example.com,Brazil,2018-11-12,Standard,1572.27
189,Jessica Rossi,jessica.rossi189@example.com,Mexico,2024-11-30,Standard,943.08
190,Michael Rodriguez,michael.rodriguez190@example.com,Australia,2021-09-22,Standard,3398.13
191,Matthew Perez,matthew.perez191@example.com,Australia,2025-04-20,Standard,3902.06
192,William Martin,william.martin192@example.com,Italy,2020-04-02,Standard,2020.24
193,Barbara Sanchez,barbara.sanchez193@example.com,France,2025-10-17,Basic,506.32
194,Andrew Thomas,andrew.thomas194@example.com,France,2022-05-29,Standard,1587.06
195,Andrew Gonzalez,andrew.gonzalez195@example.com,Japan,2020-01-07,Standard,2790.51
196,Emily Johnson,emily.johnson196@example.com,Brazil,2025-12-11,Basic,167.72
197,Charles Khan,charles.khan197@example.com,Singapore,2022-08-03,Premium,10748.71
198,William Patel,william.patel198@example.com,France,2025-05-21,Standard,785.74
199,Margaret Harris,margaret.harris199@example.com,Mexico,2023-05-17,Premium,9569.17
200,Paul Allen,paul.allen200@example.com,Singapore,2025-10-04,Basic,334.64
201,John White,john.white201@example.com,Netherlands,2024-01-09,Basic,475.06
202,Jennifer Miller,jennifer.miller202@example.com,Spain,2025-06-15,Basic,284.01
203,Ananya Flores,ananya.flores203@example.com,Spain,2025-08-06,Premium,10407.67
204,Hans Perez,hans.perez204@example.com,Australia,2019-03-10,Basic,8.44
205,Thomas Anderson,thomas.anderson205@example.com,Japan,2024-04-04,Standard,2405.97
206,Andrew Anderson,andrew.anderson206@example.com,Australia,2023-03-12,Standard,3134.90
207,Donna Khan,,India,2018-04-11,Standard,2034.53
208,Charles Clark,charles.clark208@example.com,Canada,2019-04-21,Basic,665.05
209,Carlos Martinez,carlos.martinez209@example.com,India,2023-02-09,Standard,3180.23
210,Kimberly Walker,kimberly.walker210@example.com,Canada,2022-11-30,Standard,2943.58
211,Mark Lee,mark.lee211@example.com,United States,2025-12-21,Premium,3496.11
212,Nancy Kim,nancy.kim212@example.com,Netherlands,2019-11-05,Premium,14088.99
213,Sofia Thomas,sofia.thomas213@example.com,Japan,2019-10-18,Standard,1457.76
214,Margaret Robinson,margaret.robinson214@example.com,Australia,2025-01-23,Standard,900.92
215,Aarav Chen,aarav.chen215@example.com,United States,2024-11-20,Standard,3555.77
216,Mark Nguyen,mark.nguyen216@example.com,United States,2025-11-26,Standard,1016.23
217,Sarah Silva,sarah.silva217@example.com,Netherlands,2018-09-14,Basic,461.88
218,Paul Lopez,paul.lopez218@example.com,Germany,2023-02-18,Standard,633.03
219,Wei Young,wei.young219@example.com,Spain,2021-07-07,Standard,2468.49
220,Michelle Sanchez,michelle.sanchez220@example.com,India,2021-12-12,Standard,3412.97
221,Michelle Lopez,michelle.lopez221@example.com,Italy,2021-05-03,Basic,734.95
222,Donna Garcia,donna.garcia222@example.com,India,2019-04-28,Standard,1106.58
223,Linda Lopez,linda.lopez223@example.com,United Kingdom,2023-09-24,Standard,1676.16
224,Joshua Rodriguez,joshua.rodriguez224@example.com,Australia,2020-01-31,Standard,2049.35
225,Paul Khan,paul.khan225@example.com,United Arab Emirates,2019-12-11,Basic,443.93
226,Ashley Jackson,ashley.jackson226@example.com,India,2023-01-22,Premium,10052.33
227,Daniel Smith,daniel.smith227@example.com,Germany,2022-04-22,Standard,3862.55
228,Steven Kim,steven.kim228@example.com,Spain,2023-07-08,Standard,1779.40
229,Mark Young,mark.young229@example.com,Mexico,2018-05-07,Standard,3224.35
230,Joseph Jackson,joseph.jackson230@example.com,Germany,2024-01-12,Premium,5752.71
231,Ingrid Robinson,ingrid.robinson231@example.com,Netherlands,2023-07-22,Standard,2288.96
232,Linda Torres,linda.torres232@example.com,Netherlands,2024-02-03,Premium,12702.68
233,Lisa Wright,lisa.wright233@example.com,United States,2022-12-13,Basic,437.08
234,Margaret Miller,margaret.miller234@example.com,Spain,2020-10-10,Basic,238.17
235,John Lewis,john.lewis235@example.com,Singapore,2018-12-23,Standard,1868.47
236,Linda Costa,linda.costa236@example.com,Germany,2024-08-05,Basic,551.31
237,Fatima Flores,fatima.flores237@example.com,United Kingdom,2024-11-28,Standard,729.09
238,Susan Wilson,susan.wilson238@example.com,Mexico,2021-12-07,Basic,425.82
239,Joshua Wright,joshua.wright239@example.com,Italy,2021-04-13,Standard,1299.47
240,Sarah Allen,sarah.allen240@example.com,Spain,2019-01-26,Basic,108.47
241,Hans Clark,hans.clark241@example.com,France,2025-05-10,Basic,101.51
242,William Thomas,william.thomas242@example.com,India,2020-10-10,Premium,11899.16
243,Yuki Sanchez,yuki.sanchez243@example.com,Mexico,2025-02-03,Standard,1221.13
244,Anthony Harris,anthony.harris244@example.com,Spain,2019-01-17,Standard,1730.83
245,Sofia Moore,sofia.moore245@example.com,United Arab Emirates,2022-02-20,Standard,1927.84
246,Ashley Lee,ashley.lee246@example.com,Singapore,2019-01-17,Standard,2977.54
247,Sandra Patel,sandra.patel247@example.com,India,2018-09-17,Standard,3223.58
248,Betty Wilson,betty.wilson248@example.com,Singapore,2020-05-17,Basic,395.77
249,Christopher Jackson,christopher.jackson249@example.com,Mexico,2019-06-19,Standard,2351.34
250,Ashley Perez,ashley.perez250@example.com,Netherlands,2018-07-18,Basic,36.75
251,Aarav Robinson,aarav.robinson251@example.com,United Arab Emirates,2019-10-10,Premium,7736.72
252,James Ramirez,james.ramirez252@example.com,Italy,2019-06-25,Standard,3552.16
253,Karen Hernandez,karen.hernandez253@example.com,United Arab Emirates,2021-01-27,Basic,74.67
254,Lisa Taylor,lisa.taylor254@example.com,Spain,2025-04-11,Premium,4151.83
255,Betty Patel,betty.patel255@example.com,Italy,2020-08-17,Standard,1831.08
256,Jennifer Ali,jennifer.ali256@example.com,Germany,2023-05-08,Premium,3013.20
257,Donna Anderson,donna.anderson257@example.com,Brazil,2018-02-08,Standard,230.64
258,Nancy Davis,nancy.davis258@example.com,Australia,2025-10-13,Basic,105.74
259,Robert Anderson,robert.anderson259@example.com,Italy,2019-02-24,Standard,592.17
260,Lisa Martin,lisa.martin260@example.com,Netherlands,2019-06-30,Premium,10340.49
261,Yuki Martinez,yuki.martinez261@example.com,Mexico,2018-02-04,Premium,9934.15
262,David Lewis,david.lewis262@example.com,Germany,2025-01-16,Standard,3043.42
263,Anthony Flores,anthony.flores263@example.com,Singapore,2020-06-08,Standard,529.41
264,Michael Rodriguez,michael.rodriguez264@example.com,Mexico,2022-04-22,Basic,281.23
265,Margaret Lee,margaret.lee265@example.com,Germany,2021-02-08,Basic,515.70
266,Jessica Scott,jessica.scott266@example.com,Italy,2024-10-24,Standard,1282.70
267,Omar Johnson,omar.johnson267@example.com,Spain,2021-05-20,Basic,164.36
268,Joshua Allen,joshua.allen268@example.com,Australia,2021-04-25,Standard,2655.45
269,Jessica Young,jessica.young269@example.com,Germany,2023-08-09,Standard,2624.71
270,Robert King,robert.king270@example.com,United States,2022-01-19,Basic,747.14
271,William Harris,william.harris271@example.com,Mexico,2022-09-20,Basic,292.33
272,Yuki Lopez,yuki.lopez272@example.com,Netherlands,2018-10-26,Basic,13.35
273,Robert Smith,robert.smith273@example.com,United States,2018-09-05,Standard,3804.98
274,Betty Allen,betty.allen274@example.com,Italy,2023-08-15,Standard,3115.02
275,Margaret Khan,margaret.khan275@example.com,Spain,2024-01-07,Standard,2243.09
276,Elizabeth Moore,elizabeth.moore276@example.com,Canada,2023-09-26,Premium,13972.02
277,Elizabeth Wright,elizabeth.wright277@example.com,Mexico,2025-02-11,Standard,3100.25
278,Ananya Singh,ananya.singh278@example.com,France,2025-11-01,Standard,1862.45
279,Jessica Brown,jessica.brown279@example.com,United Arab Emirates,2022-11-15,Standard,640.75
280,Michelle Hill,michelle.hill280@example.com,Spain,2025-05-19,Premium,11628.56
281,Linda Smith,linda.smith281@example.com,Italy,2018-02-16,Basic,131.07
282,Daniel King,daniel.king282@example.com,Singapore,2020-11-27,Standard,834.46
283,William Mueller,william.mueller283@example.com,France,2019-04-29,Basic,617.14
284,Mary Perez,mary.perez284@example.com,France,2023-11-16,Basic,51.10
285,Fatima Torres,fatima.torres285@example.com,Brazil,2023-02-08,Standard,2140.97
286,Patricia Young,patricia.young286@example.com,United Kingdom,2022-02-15,Basic,125.85
287,Ingrid Miller,ingrid.miller287@example.com,Spain,2019-04-18,Basic,182.72
288,Steven Smith,steven.smith288@example.com,Singapore,2018-02-20,Premium,5179.17
289,Donald White,donald.white289@example.com,United Kingdom,2020-01-04,Standard,3738.41
290,John Scott,john.scott290@example.com,Italy,2025-05-09,Basic,335.50
291,Christopher Thomas,christopher.thomas291@example.com,Italy,2021-08-03,Standard,1230.78
292,Robert Torres,robert.torres292@example.com,Japan,2025-07-20,Standard,3627.38
293,Barbara Anderson,barbara.anderson293@example.com,United States,2022-07-01,Basic,55.14
294,Sandra Jackson,sandra.jackson294@example.com,France,2021-09-02,Basic,69.11
295,Sandra Smith,sandra.smith295@example.com,France,2024-04-28,Standard,3181.13
296,Sofia Flores,sofia.flores296@example.com,India,2024-08-20,Standard,3893.06
297,Ingrid Costa,ingrid.costa297@example.com,United Arab Emirates,2024-02-17,Standard,3089.83
298,Jessica Martinez,jessica.martinez298@example.com,Australia,2018-04-08,Premium,5028.97
299,Daniel Patel,daniel.patel299@example.com,United Arab Emirates,2018-02-09,Basic,760.79
300,James Silva,james.silva300@example.com,Singapore,2021-06-13,Standard,595.01
301,Kimberly Thomas,kimberly.thomas301@example.com,United States,2019-08-07,Standard,2904.28
302,Jennifer Williams,jennifer.williams302@example.com,United Arab Emirates,2023-10-30,Basic,330.45
303,Lisa Robinson,lisa.robinson303@example.com,Canada,2024-07-06,Basic,76.46
304,William Patel,william.patel304@example.com,Canada,2024-08-21,Basic,454.26
305,Margaret Chen,margaret.chen305@example.com,Germany,2021-04-09,Basic,208.79
306,Christopher Sanchez,christopher.sanchez306@example.com,Italy,2021-08-29,Basic,254.45
307,Sarah Anderson,sarah.anderson307@example.com,Germany,2019-07-12,Premium,12139.18
308,Donna Miller,donna.miller308@example.com,United Kingdom,2023-01-16,Standard,1971.01
309,Anthony Davis,anthony.davis309@example.com,Netherlands,2020-04-30,Standard,1917.28
310,Sandra Taylor,sandra.taylor310@example.com,Canada,2019-10-08,Basic,646.08
311,Karen Ali,karen.ali311@example.com,United States,2020-05-30,Standard,3376.51
312,Christopher Martinez,christopher.martinez312@example.com,Germany,2021-12-28,Premium,7151.18
313,Patricia Singh,patricia.singh313@example.com,Singapore,2019-12-14,Standard,318.11
314,Betty Lewis,betty.lewis314@example.com,Japan,2020-10-20,Standard,559.96
315,Michael Rodriguez,michael.rodriguez315@example.com,United States,2020-06-29,Premium,3699.30
316,Betty White,betty.white316@example.com,Spain,2018-12-11,Standard,2412.83
317,Thomas Jones,thomas.jones317@example.com,Canada,2020-03-20,Premium,13732.45
318,Mark Rodriguez,mark.rodriguez318@example.com,Singapore,2021-09-20,Premium,3592.86
319,Sandra Brown,sandra.brown319@example.com,Mexico,2022-11-10,Standard,3322.40
320,Betty Young,betty.young320@example.com,Spain,2022-10-14,Premium,4246.49
321,Susan Lopez,susan.lopez321@example.com,Brazil,2019-09-01,Standard,331.67
322,Michelle Flores,michelle.flores322@example.com,France,2023-08-06,Standard,1765.57
323,Emily Walker,emily.walker323@example.com,France,2022-04-18,Premium,3784.07
324,Richard Kim,richard.kim324@example.com,Japan,2020-10-17,Basic,504.60
325,Paul Johnson,paul.johnson325@example.com,Netherlands,2025-12-31,Basic,287.29
326,Paul Young,paul.young326@example.com,Mexico,2023-08-20,Standard,1422.10
327,Sarah Lopez,sarah.lopez327@example.com,Mexico,2020-06-16,Premium,2380.94
328,Ingrid Moore,ingrid.moore328@example.com,Brazil,2023-12-09,Premium,6646.63
329,Donna Anderson,donna.anderson329@example.com,Canada,2020-10-12,Basic,525.49
330,Sarah Wright,sarah.wright330@example.com,United Arab Emirates,2018-08-18,Basic,611.24
